Inglês;Português;Descrição
PRODUCT;MULT;Multiplica os argumentos
PROPER;PRI.MAIUSCULA;Converte a primeira letra de cada palavra em maiúscula
PV;VP;Retorna o valor presente de um investimento
QUARTILE;QUARTIL;Retorna o quartil de um conjunto de dados
RADIANS;RADIANOS;Converte graus em radianos
RAND;ALEATÓRIO;Retorna um número aleatório entre 0 e 1
RANK;ORDEM;Retorna a posição de um número em uma lista de números
RATE;TAXA;Retorna a taxa de juros por período de uma anuidade
REPLACE;MUDAR;Muda os caracteres dentro do texto
REPT;REPT;Repete um texto um determinado número de vezes
RIGHT;DIREITA;Retorna os caracteres mais à direita de um valor de texto
ROMAN;ROMANO;Converte um numeral arábico em romanos, como texto
ROUND;ARRED;Arredonda um número até uma quantidade especificada de dígitos
ROUNDDOWN;ARREDONDAR.PARA.BAIXO;Arredonda um número para baixo até zero
ROUNDUP;ARREDONDAR.PARA.CIMA;Arredonda um número para cima, afastando-o de zero
ROW;LIN;Retorna o número da linha de uma referência
ROWS;LINS;Retorna o número de linhas em uma referência
RSQ;RQUAD;Retorna o quadrado do coeficiente de correlação do momento do produto de Pearson
SEARCH;LOCALIZAR;Localiza um valor de texto dentro de outro (não diferencia maiúsculas de minúsculas)
SECOND;SEGUNDO;Converte um número de série em um segundo
SERIESSUM;SOMASEQÜÊNCIA;Retorna a soma de uma série polinomial
SIGN;SINAL;Retorna o sinal de um número
SIN;SEN;Retorna o seno de um ângulo dado
SINH;SENH;Retorna o seno hiperbólico de um número
SKEW;DISTORÇÃO;Retorna a distorção de uma distribuição
SLN;DPD;Retorna a depreciação em linha reta de um ativo durante um período
SLOPE;INCLINAÇÃO;Retorna a inclinação da linha de regressão linear
SMALL;MENOR;Retorna o menor valor k-ésimo em um conjunto de dados
SQRT;RAIZ;Retorna uma raiz quadrada positiva
STANDARDIZE;PADRONIZAR;Retorna um valor normalizado
STDEV;DESVPAD;Estima o desvio padrão com base em uma amostra
STDEVA;DESVPADA;Estima o desvio padrão com base em uma amostra, inclusive números, texto e valores lógicos
STDEVP;DESVPADP;Calcula o desvio padrão com base na população total
STDEVPA;DESVPADPA;Calcula o desvio padrão com base na população total, inclusive números, texto e valores lógicos
STEYX;EPADYX;Retorna o erro padrão do valor y previsto para cada x da regressão
SUBSTITUTE;SUBSTITUIR;Substituir um novo texto por um texto antigo em uma seqüência de texto
SUBTOTAL;SUBTOTAL;Retorna um subtotal em uma lista ou em um banco de dados
SUM;SOMA;Adiciona os argumentos
SUMIF;SOMASE;Adiciona as células especificadas por um determinado critério
SUMPRODUCT;SOMARPRODUTO;Retorna a soma dos produtos de componentes correspondentes de matrizes
SUMSQ;SOMAQUAD;Retorna a soma dos quadrados dos argumentos
SUMX2PY2;SOMAX2SY2;Retorna a soma da soma dos quadrados dos valores correspondentes em duas matrizes
SYD;SDA;Retorna a depreciação dos dígitos da soma dos anos de um ativopara um período especificado
T;T;Converte os argumentos em texto
TAN;TAN;Retorna a tangente de um número
TANH;TANH;Retorna a tangente hiperbólica de um número
TDIST;DISTT;Retorna a distribuição t de Student
TEXT;TEXTO;Formata um número e o converte em texto
TIME;TEMPO;Retorna o número de série de um horário específico
TIMEVALUE;VALOR.TEMPO;Converte um horário na forma de texto para um número de série
TINV;INVT;Retorna o inverso da distribuição t de Student
TODAY;HOJE;Retorna o número de série da data de hoje
TRANSPOSE;TRANSPOR;Converte um intervalo de células de vertical em horizontal e vice-versa
TREND;TENDÊNCIA;Retorna valores ao longo de uma tendência linear
TRIM;ARRUMAR;Remove espaços do texto
TRIMMEAN;MÉDIA.INTERNA;Retorna a média do interior de um conjunto de dados
TRUNC;TRUNCAR;Trunca um número para um inteiro
TTEST;TESTET;Retorna a probabilidade associada ao teste t de Student
TYPE;TIPO;Retorna um número indicando o tipo de dados de um valor
UPPER;MAIÚSCULA;Converte o texto em maiúsculas
VALUE;VALOR;Converte um argumento de texto em um número
VAR;VAR;Estima a variância com base em uma amostra
VARA;VARA;Estima a variância com base em uma amostra, inclusive números, texto e valores lógicos
VARP;VARP;Calcula a variância com base na população total
VARPA;VARPA;Calcula a variância com base na população total, inclusive números, texto e valores lógicos
VERDADEIRO;TRUE;Retorna o valor lógico verdadeiro
VLOOKUP;PROCV;Procura na primeira coluna de uma matriz e move ao longo da linha para retornar o valor de uma célula
WEEKDAY;DIA.DA.SEMANA;Converte um número de série em um dia da semana
WEIBULL;WEIBULL;Retorna a distribuição Weibull
YEAR;ANO;Converte um número de série em um ano
ZTEST;TESTEZ;Retorna o valor-P bicaudal do teste-z
